Machine Name,Agilent 1260 Infinity II GPC,P35,,,P40,,,P45,
,"2 x PLgel 5 ?m MIXED-C columns (polystyrene-divinylbenzene (PS/DVB), as well as a PLgel 5 ?m guard column at 35 °C and a flow rate of 1.0 mL.min-1 with THF containing 2.0% v/v triethylamine and 0.05% w/v BHT inhibitor as solvent.",logM,dwdlogM,,logM,dwdlogM,,logM,dwdlogM
,,4.52,1.03,,4.05,0.51,,4.75,0.64
,,4.52,1.03,,4.04,0.5,,4.74,0.65
,,4.51,1.03,,4.04,0.5,,4.74,0.66
,,4.51,1.03,,4.04,0.49,,4.73,0.67
,,4.5,1.03,,4.03,0.49,,4.73,0.68
,,4.5,1.04,,4.03,0.48,,4.73,0.69
,,4.5,1.04,,4.03,0.48,,4.72,0.7
,,4.49,1.04,,4.02,0.48,,4.72,0.71
,,4.49,1.04,,4.02,0.47,,4.71,0.72
,,4.48,1.04,,4.01,0.47,,4.71,0.73
,,4.48,1.05,,4.01,0.46,,4.71,0.73
,,4.48,1.05,,4.01,0.46,,4.7,0.74
,,4.47,1.05,,4,0.45,,4.7,0.75
,,4.47,1.05,,4,0.45,,4.69,0.76
,,4.47,1.05,,3.99,0.44,,4.69,0.77
,,4.46,1.05,,3.99,0.44,,4.69,0.78
,,4.46,1.05,,3.99,0.44,,4.68,0.79
,,4.45,1.06,,3.98,0.43,,4.68,0.8
,,4.45,1.06,,3.98,0.43,,4.68,0.81
,,4.45,1.06,,3.97,0.42,,4.67,0.81
,,4.44,1.06,,3.97,0.42,,4.67,0.82
,,4.44,1.06,,3.97,0.41,,4.66,0.83
,,4.43,1.06,,3.96,0.41,,4.66,0.84
,,4.43,1.06,,3.96,0.4,,4.66,0.85
,,4.43,1.06,,3.95,0.4,,4.65,0.85
,,4.42,1.06,,3.95,0.4,,4.65,0.86
,,4.42,1.06,,3.95,0.39,,4.64,0.87
,,4.41,1.06,,3.94,0.39,,4.64,0.88
,,4.41,1.06,,3.94,0.38,,4.64,0.88
,,4.41,1.06,,3.93,0.38,,4.63,0.89
,,4.4,1.06,,3.93,0.38,,4.63,0.9
,,4.4,1.06,,3.93,0.37,,4.62,0.9
,,4.39,1.06,,3.92,0.37,,4.62,0.91
,,4.39,1.06,,3.92,0.36,,4.62,0.92
